Geneid,SRR390728,SRR390729,SRR390730,p_value,adjusted_p_value
leuZ,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
cysT,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glyW,6.221608662818688,0.0,5.793373572949968,1.2847958349235085e-66,2.6466794199424275e-64
sdsN,7.78865105557699,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
fliX,7.606412377653531,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
dsrA,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rseX,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
serU,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
asnT,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
asnW,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
asnU,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
asnV,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
isrC,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sibA,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sibB,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
cyaR,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
proL,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
micF,7.501107110760222,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argW,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
alaX,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
alaW,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
valU,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
valX,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
valY,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
lysV,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sroE,7.443981194767702,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
timR,7.095918200697526,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ryfA,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glmY,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ohsC,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrfG,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlG,11.94124954905357,10.827690827779623,10.444310700092865,1.2847958349235085e-66,2.6466794199424275e-64
gltW,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrsG,11.291049890840108,12.53527737284612,12.807830118258256,1.2847958349235085e-66,2.6466794199424275e-64
ryfD,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
raiZ,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ssrA,7.318896042338866,0.0,6.484995749666248,1.2847958349235085e-66,2.6466794199424275e-64
ileY,7.318896042338866,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
micA,7.606412377653531,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argQ,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argZ,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argY,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argV,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
serV,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sokX,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
csrB,8.439040405258144,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
gcvB,7.443981194767702,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
metZ,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
metW,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
metV,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
omrA,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
omrB,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glyU,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ssrS,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sibC,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
pheV,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sibD,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sibE,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ileX,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rnpB,7.501107110760222,5.761916816420069,7.400370361678707,1.2847958349235085e-66,2.6466794199424275e-64
sraG,8.044490848539592,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
metY,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
leuU,7.008982137209845,5.761916816420069,0.0,1.2847958349235085e-66,2.6466794199424275e-64
arcZ,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrfF,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
thrV,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrfD,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlD,11.69105899284419,9.126171400161342,9.551592442263269,1.2847958349235085e-66,2.6466794199424275e-64
alaU,7.829456473498845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ileU,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrsD,11.193605711978055,12.159029469147836,12.396975553344204,1.2847958349235085e-66,2.6466794199424275e-64
ryhB,7.249950519274811,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
agrA,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
agrB,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
arrS,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
